2022-05-21,BTC-USD
Time,Price,UnixTime
00:34:49.967880Z,29256,1653093289.96788
00:34:55.001591Z,29241.58,1653093295.001591
00:35:00.355418Z,29231.66,1653093300.355418
00:35:04.119618Z,29240.77,1653093304.119618
00:35:09.547130Z,29234.53,1653093309.54713
00:35:13.975125Z,29236.67,1653093313.975125
00:35:20.562670Z,29233.55,1653093320.56267
00:35:23.791609Z,29232.71,1653093323.791609
00:35:28.262538Z,29231.07,1653093328.262538
00:35:34.906988Z,29230.22,1653093334.906988
00:35:40.039788Z,29229.02,1653093340.039788
00:35:45.896927Z,29226.88,1653093345.896927
00:35:50.084715Z,29227.28,1653093350.084715
00:35:55.356694Z,29225.62,1653093355.356694
00:35:59.689999Z,29233.43,1653093359.689999
00:36:05.077810Z,29235.21,1653093365.07781
00:36:11.238308Z,29233.71,1653093371.238308
00:36:16.117460Z,29237.27,1653093376.11746
00:36:20.929751Z,29237.27,1653093380.929751
00:36:25.861946Z,29233.69,1653093385.861946
00:36:29.510283Z,29235.58,1653093389.510283
00:36:35.919449Z,29233.71,1653093395.919449
00:36:41.510208Z,29237.27,1653093401.510208
00:36:45.773789Z,29230.97,1653093405.773789
00:36:49.530109Z,29232.23,1653093409.530109
00:36:56.157116Z,29221.52,1653093416.157116
00:37:00.130622Z,29222.42,1653093420.130622
00:37:06.251909Z,29216.19,1653093426.251909
00:37:11.601402Z,29219.55,1653093431.601402
00:37:16.807723Z,29222.83,1653093436.807723
00:37:21.209961Z,29209.19,1653093441.209961
00:37:26.564952Z,29204.74,1653093446.564952
00:37:30.942066Z,29206.61,1653093450.942066
00:37:35.749166Z,29202.82,1653093455.749166
00:37:41.872263Z,29200.95,1653093461.872263
00:37:45.526575Z,29204.38,1653093465.526575
00:37:51.760071Z,29191.68,1653093471.760071
00:37:56.055134Z,29186.56,1653093476.055134
00:38:01.405706Z,29190.23,1653093481.405706
00:38:04.745493Z,29183.67,1653093484.745493
00:38:12.025895Z,29171.5,1653093492.025895
00:38:15.667661Z,29179.12,1653093495.667661
00:38:20.873886Z,29173.92,1653093500.873886
00:38:25.716677Z,29169.95,1653093505.716677
00:38:32.430044Z,29203.29,1653093512.430044
00:38:34.119192Z,29201.1,1653093514.119192
00:38:41.899740Z,29196.06,1653093521.89974
00:38:46.769939Z,29198.11,1653093526.769939
00:38:51.143124Z,29200.72,1653093531.143124
00:38:57.083321Z,29197.39,1653093537.083321
00:39:00.983326Z,29191.22,1653093540.983326
00:39:07.295342Z,29194.27,1653093547.295342
00:39:12.869159Z,29180.07,1653093552.869159
00:39:14.078833Z,29182.73,1653093554.078833
00:39:22.842659Z,29174.53,1653093562.842659
00:39:26.708311Z,29170.85,1653093566.708311
00:39:31.900045Z,29175.3,1653093571.900045
00:39:36.922465Z,29168.32,1653093576.922465
00:39:42.762863Z,29176.08,1653093582.762863
00:39:46.611724Z,29177.17,1653093586.611724
00:39:52.214259Z,29177.79,1653093592.214259
00:39:57.067536Z,29180.35,1653093597.067536
00:40:02.516849Z,29187.89,1653093602.516849
00:40:07.769138Z,29186.46,1653093607.769138
00:40:12.547320Z,29185.47,1653093612.54732
00:40:17.787735Z,29190.56,1653093617.787735
00:40:22.505042Z,29190.09,1653093622.505042
00:40:28.057416Z,29170.57,1653093628.057416
00:40:31.786672Z,29163.27,1653093631.786672
00:40:36.613450Z,29162.28,1653093636.61345
00:40:43.393564Z,29163.34,1653093643.393564
00:40:46.731159Z,29160.08,1653093646.731159
00:40:52.938950Z,29152.22,1653093652.93895
00:40:57.648927Z,29151.16,1653093657.648927
00:41:03.168674Z,29160.19,1653093663.168674
00:41:07.122867Z,29167.54,1653093667.122867
00:41:13.241012Z,29171.94,1653093673.241012
00:41:18.548101Z,29167.9,1653093678.548101
00:41:22.930370Z,29174.22,1653093682.93037
